Wys;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90
70;2 106,94;2 113,26;2 119,60;2 125,96;2 132,34;2 138,73;2 145,15;2 151,59;2 158,04;2 164,51;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02
71;2 113,26;2 119,60;2 125,96;2 132,34;2 138,73;2 145,15;2 151,59;2 158,04;2 164,51;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74
72;2 119,60;2 125,96;2 132,34;2 138,73;2 145,15;2 151,59;2 158,04;2 164,51;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47
73;2 125,96;2 132,34;2 138,73;2 145,15;2 151,59;2 158,04;2 164,51;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22
74;2 132,34;2 138,73;2 145,15;2 151,59;2 158,04;2 164,51;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99
75;2 138,73;2 145,15;2 151,59;2 158,04;2 164,51;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78
76;2 145,15;2 151,59;2 158,04;2 164,51;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59
77;2 151,59;2 158,04;2 164,51;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43
78;2 158,04;2 164,51;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28
79;2 164,51;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15
80;2 171,01;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05
81;2 177,52;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05;2 311,96
82;2 184,05;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05;2 311,96;2 318,90
83;2 190,61;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05;2 311,96;2 318,90;2 325,86
84;2 197,18;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05;2 311,96;2 318,90;2 325,86;2 332,83
85;2 203,77;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05;2 311,96;2 318,90;2 325,86;2 332,83;2 339,83
86;2 210,38;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05;2 311,96;2 318,90;2 325,86;2 332,83;2 339,83;2 346,85
87;2 217,01;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05;2 311,96;2 318,90;2 325,86;2 332,83;2 339,83;2 346,85;2 353,89
88;2 223,66;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05;2 311,96;2 318,90;2 325,86;2 332,83;2 339,83;2 346,85;2 353,89;2 360,95
89;2 230,33;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05;2 311,96;2 318,90;2 325,86;2 332,83;2 339,83;2 346,85;2 353,89;2 360,95;2 368,04
90;2 237,02;2 243,74;2 250,47;2 257,22;2 263,99;2 270,78;2 277,59;2 284,43;2 291,28;2 298,15;2 305,05;2 311,96;2 318,90;2 325,86;2 332,83;2 339,83;2 346,85;2 353,89;2 360,95;2 368,04;2 375,14
